GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
107985282,0.0275,0.00177,0.4191,3.126668,1.3105024,16.6,LOC107985282,uncharacterized LOC107985282
5352,0.0276,0.00178,0.3428,-3.124604,-1.0712682,456.22,PLOD2,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
5979,0.0276,0.00178,0.6288,-3.12422,-1.9646111,23.99,RET,ret proto-oncogene
1951,0.0277,0.00179,0.3911,-3.1226,-1.2212707,46.72,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3
1776,0.028,0.00182,0.6391,-3.118395,-1.9930184,42.61,DNASE1L3,deoxyribonuclease 1 like 3
25861,0.0281,0.00183,0.4552,-3.116923,-1.4188435,51.84,WHRN,whirlin
246213,0.0281,0.00183,0.7687,-3.11716,-2.3962379,12.01,SLC17A8,solute carrier family 17 member 8
147184,0.0282,0.00184,0.3476,-3.115673,-1.083139,25.54,KRT10-AS1,KRT10 antisense RNA 1
105379725,0.0288,0.00189,0.4722,-3.107408,-1.4674412,14.22,LOC105379725,uncharacterized LOC105379725
143662,0.0291,0.00191,0.4593,3.104625,1.4260189,1328.29,MUC15,"mucin 15, cell surface associated"
9630,0.0291,0.00191,0.3436,3.103601,1.0663868,60.97,GNA14,G protein subunit alpha 14
152110,0.0293,0.00193,0.6984,-3.101105,-2.1658133,51.78,NEK10,NIMA related kinase 10
103689912,0.0293,0.00193,0.3583,3.100417,1.1107362,20.61,TBX2-AS1,TBX2 antisense RNA 1
100505875,0.0293,0.00194,0.3611,3.098826,1.1188834,22.82,LINC01088,long intergenic non-protein coding RNA 1088
105377549,0.0293,0.00194,0.4577,-3.09975,-1.4188266,12.53,LOC105377549,uncharacterized LOC105377549
105376380,0.0293,0.00195,0.5033,-3.098351,-1.5592852,18.27,LOC105376380,uncharacterized LOC105376380
284233,0.0293,0.00194,0.5173,3.098703,1.6028978,33.27,CYP4F35P,"cytochrome P450 family 4 subfamily F member 35, pseudogene"
140825,0.0293,0.00195,0.4096,3.098048,1.2690916,12.48,NEURL2,neuralized E3 ubiquitin protein ligase 2
